timestamp;buyer;seller;symbol;currency;price;quantity
100;;;AMETHYSTS;SEASHELLS;10002;1
100;;;STARFRUIT;SEASHELLS;5042;1
200;;;AMETHYSTS;SEASHELLS;10004;1
200;;;STARFRUIT;SEASHELLS;5043;1
300;;;STARFRUIT;SEASHELLS;5042;1
500;;;STARFRUIT;SEASHELLS;5043;1
600;;;STARFRUIT;SEASHELLS;5041;5
700;;;STARFRUIT;SEASHELLS;5037;1
800;SUBMISSION;;STARFRUIT;SEASHELLS;5039;3
800;;;AMETHYSTS;SEASHELLS;9996;1
800;;;STARFRUIT;SEASHELLS;5036;1
1200;SUBMISSION;;STARFRUIT;SEASHELLS;5037;1
1300;;;AMETHYSTS;SEASHELLS;10002;1
1400;;;STARFRUIT;SEASHELLS;5039;6
1500;;SUBMISSION;STARFRUIT;SEASHELLS;5041;1
1500;;;AMETHYSTS;SEASHELLS;9998;4
1900;;;STARFRUIT;SEASHELLS;5036;1
2600;;;AMETHYSTS;SEASHELLS;10002;4
2600;;;AMETHYSTS;SEASHELLS;10002;1
3000;;SUBMISSION;STARFRUIT;SEASHELLS;5040;1
3100;;;AMETHYSTS;SEASHELLS;9998;1
3200;SUBMISSION;;STARFRUIT;SEASHELLS;5038;5
3200;;;AMETHYSTS;SEASHELLS;10002;5
3300;;;AMETHYSTS;SEASHELLS;10002;1
3700;;;AMETHYSTS;SEASHELLS;9998;1
4000;;;STARFRUIT;SEASHELLS;5034;1
4200;;;AMETHYSTS;SEASHELLS;10002;5
4300;SUBMISSION;;STARFRUIT;SEASHELLS;5036;2
4800;;SUBMISSION;STARFRUIT;SEASHELLS;5039;1
5200;;;STARFRUIT;SEASHELLS;5035;5
5200;;;STARFRUIT;SEASHELLS;5035;4
5400;;;AMETHYSTS;SEASHELLS;10005;1
5400;;;STARFRUIT;SEASHELLS;5039;1
5500;SUBMISSION;;STARFRUIT;SEASHELLS;5033;8
5500;;;AMETHYSTS;SEASHELLS;10004;1
6200;;SUBMISSION;STARFRUIT;SEASHELLS;5036;1
6300;;;STARFRUIT;SEASHELLS;5037;11
6600;SUBMISSION;;STARFRUIT;SEASHELLS;5031;5
6600;;;STARFRUIT;SEASHELLS;5031;2
6700;;;AMETHYSTS;SEASHELLS;10004;1
6700;;;STARFRUIT;SEASHELLS;5034;1
6800;;;STARFRUIT;SEASHELLS;5030;1
7200;;;AMETHYSTS;SEASHELLS;10002;1
