sandboxLog;lambdaLog;timestamp
;"Trader initialized with params:  {'limit_hits_up': {'STARFRUIT': 0, 'AMETHYSTS': 0, 'ORCHIDS': 0, 'GIFT_BASKET': 0, 'ROSES': 0, 'CHOCOLATE': 0, 'STRAWBERRIES': 0}, 'limit_hits_down': {'STARFRUIT': 0, 'AMETHYSTS': 0, 'ORCHIDS': 0, 'GIFT_BASKET': 0, 'ROSES': 0, 'CHOCOLATE': 0, 'STRAWBERRIES': 0}, 'limits': {'STARFRUIT': 20, 'AMETHYSTS': 20, 'ORCHIDS': 100, 'GIFT_BASKET': 60, 'ROSES': 20, 'CHOCOLATE': 20, 'STRAWBERRIES': 20}, 'runs': 0, 'verbose': False, 'products': ['STARFRUIT', 'AMETHYSTS', 'ORCHIDS', 'GIFT_BASKET', 'ROSES', 'CHOCOLATE', 'STRAWBERRIES'], 'basket_half_spread': 3, 'coefs': {'ROSES': 1, 'CHOCOLATE': 4, 'STRAWBERRIES': 5}}
START RequestId: 8e8211ef-4a15-4775-984d-e60a9b2ae9a0 Version: $LATEST
time 0, basket position 0
END RequestId: 8e8211ef-4a15-4775-984d-e60a9b2ae9a0
REPORT RequestId: 8e8211ef-4a15-4775-984d-e60a9b2ae9a0	Duration: 10.00 ms	Billed Duration: 10 ms	Memory Size: 128 MB	Max Memory Used: 66 MB	Init Duration: 669.28 ms	
";0
;time 100, basket position 0;100
;time 200, basket position 0;200
;time 300, basket position 0;300
;time 400, basket position 0;400
;time 500, basket position 0;500
;time 600, basket position 0;600
;time 700, basket position 0;700
;time 800, basket position 0;800
;time 900, basket position 0;900
;time 1000, basket position 0;1000
;time 1100, basket position 0;1100
;time 1200, basket position 0;1200
;time 1300, basket position 0;1300
;time 1400, basket position 0;1400
;time 1500, basket position 0;1500
;time 1600, basket position 0;1600
;time 1700, basket position 0;1700
;time 1800, basket position 0;1800
;time 1900, basket position 0;1900
;time 2000, basket position 0;2000
;time 2100, basket position 0;2100
;time 2200, basket position 9;2200
;time 2300, basket position 9;2300
;time 2400, basket position 9;2400
;time 2500, basket position 9;2500
;time 2600, basket position 9;2600
;time 2700, basket position 9;2700
;time 2800, basket position 9;2800
;time 2900, basket position 9;2900
;time 3000, basket position 9;3000
;time 3100, basket position 9;3100
;time 3200, basket position 9;3200
;time 3300, basket position 9;3300
;time 3400, basket position 9;3400
;time 3500, basket position 9;3500
;time 3600, basket position 9;3600
;time 3700, basket position 9;3700
;time 3800, basket position 9;3800
;time 3900, basket position 9;3900
;time 4000, basket position 9;4000
;time 4100, basket position 9;4100
;time 4200, basket position 9;4200
;time 4300, basket position 9;4300
;time 4400, basket position 9;4400
;time 4500, basket position 9;4500
;time 4600, basket position 9;4600
;time 4700, basket position 9;4700
;time 4800, basket position 9;4800
;time 4900, basket position 9;4900
;time 5000, basket position 9;5000
;time 5100, basket position 9;5100
;time 5200, basket position 9;5200
;time 5300, basket position 9;5300
;time 5400, basket position 9;5400
;time 5500, basket position 9;5500
;time 5600, basket position 9;5600
;time 5700, basket position 9;5700
;time 5800, basket position 9;5800
;time 5900, basket position 9;5900
;time 6000, basket position 9;6000
;time 6100, basket position 9;6100
;time 6200, basket position 9;6200
;time 6300, basket position 9;6300
;time 6400, basket position 9;6400
;time 6500, basket position 9;6500
;time 6600, basket position 9;6600
;time 6700, basket position 9;6700
;time 6800, basket position 9;6800
;time 6900, basket position 9;6900
;time 7000, basket position 9;7000
;time 7100, basket position 9;7100
