sandboxLog;lambdaLog;timestamp
;{'time': 0, 'best_bid': 1094, 'best_ask': 1102, 'bidPrice': 1097.5, 'askPrice': 1099.0, 'transportFees': 0.9, 'exportTariff': 10.5, 'importTariff': -5.0, 'sunlight': 2100.0, 'humidity': 70.0};0
;{'time': 100, 'best_bid': 1094, 'best_ask': 1102, 'bidPrice': 1097.5, 'askPrice': 1099.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2099.757, 'humidity': 70.02271};100
;{'time': 200, 'best_bid': 1093, 'best_ask': 1101, 'bidPrice': 1096.0, 'askPrice': 1097.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2099.5132, 'humidity': 70.045395};200
;{'time': 300, 'best_bid': 1093, 'best_ask': 1101, 'bidPrice': 1096.0, 'askPrice': 1098.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2099.2683, 'humidity': 70.06803};300
;{'time': 400, 'best_bid': 1093, 'best_ask': 1101, 'bidPrice': 1096.5, 'askPrice': 1098.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2099.0225, 'humidity': 70.09064};400
;{'time': 500, 'best_bid': 1094, 'best_ask': 1102, 'bidPrice': 1097.0, 'askPrice': 1098.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2098.7756, 'humidity': 70.1132};500
;{'time': 600, 'best_bid': 1093, 'best_ask': 1101, 'bidPrice': 1096.5, 'askPrice': 1098.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2098.528, 'humidity': 70.13572};600
;{'time': 700, 'best_bid': 1093, 'best_ask': 1101, 'bidPrice': 1096.5, 'askPrice': 1098.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2098.2795, 'humidity': 70.15821};700
;{'time': 800, 'best_bid': 1093, 'best_ask': 1101, 'bidPrice': 1096.0, 'askPrice': 1097.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2098.03, 'humidity': 70.18066};800
;{'time': 900, 'best_bid': 1093, 'best_ask': 1101, 'bidPrice': 1096.5, 'askPrice': 1098.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2097.7795, 'humidity': 70.20307};900
;{'time': 1000, 'best_bid': 1094, 'best_ask': 1101, 'bidPrice': 1096.5, 'askPrice': 1098.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2097.528, 'humidity': 70.22544};1000
;{'time': 1100, 'best_bid': 1092, 'best_ask': 1100, 'bidPrice': 1095.5, 'askPrice': 1097.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2097.276, 'humidity': 70.24778};1100
;{'time': 1200, 'best_bid': 1094, 'best_ask': 1102, 'bidPrice': 1097.5, 'askPrice': 1099.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2097.0225, 'humidity': 70.27007};1200
;{'time': 1300, 'best_bid': 1094, 'best_ask': 1102, 'bidPrice': 1097.0, 'askPrice': 1098.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2096.7683, 'humidity': 70.292336};1300
;{'time': 1400, 'best_bid': 1095, 'best_ask': 1103, 'bidPrice': 1098.0, 'askPrice': 1099.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2096.5132, 'humidity': 70.31456};1400
;{'time': 1500, 'best_bid': 1094, 'best_ask': 1102, 'bidPrice': 1097.0, 'askPrice': 1098.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2096.2573, 'humidity': 70.33675};1500
;{'time': 1600, 'best_bid': 1094, 'best_ask': 1102, 'bidPrice': 1097.5, 'askPrice': 1099.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2096.0005, 'humidity': 70.358894};1600
;{'time': 1700, 'best_bid': 1095, 'best_ask': 1103, 'bidPrice': 1098.0, 'askPrice': 1099.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2095.7424, 'humidity': 70.381004};1700
;{'time': 1800, 'best_bid': 1095, 'best_ask': 1103, 'bidPrice': 1098.0, 'askPrice': 1099.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2095.484, 'humidity': 70.403076};1800
;{'time': 1900, 'best_bid': 1097, 'best_ask': 1105, 'bidPrice': 1100.0, 'askPrice': 1101.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2095.224, 'humidity': 70.42511};1900
;{'time': 2000, 'best_bid': 1097, 'best_ask': 1105, 'bidPrice': 1100.0, 'askPrice': 1101.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2094.9636, 'humidity': 70.44711};2000
;{'time': 2100, 'best_bid': 1097, 'best_ask': 1105, 'bidPrice': 1100.0, 'askPrice': 1101.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2094.7021, 'humidity': 70.46907};2100
;{'time': 2200, 'best_bid': 1098, 'best_ask': 1106, 'bidPrice': 1101.0, 'askPrice': 1102.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2094.4397, 'humidity': 70.491};2200
;{'time': 2300, 'best_bid': 1099, 'best_ask': 1107, 'bidPrice': 1102.0, 'askPrice': 1103.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2094.1765, 'humidity': 70.512886};2300
;{'time': 2400, 'best_bid': 1099, 'best_ask': 1107, 'bidPrice': 1102.0, 'askPrice': 1103.5, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2093.9124, 'humidity': 70.53474};2400
;{'time': 2500, 'best_bid': 1096, 'best_ask': 1104, 'bidPrice': 1099.5, 'askPrice': 1101.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2093.6472, 'humidity': 70.55655};2500
;{'time': 2600, 'best_bid': 1094, 'best_ask': 1102, 'bidPrice': 1097.5, 'askPrice': 1099.0, 'transportFees': 0.9, 'exportTariff': 9.5, 'importTariff': -5.0, 'sunlight': 2093.381, 'humidity': 70.57833};2600
