timestamp;buyer;seller;symbol;currency;price;quantity
100;;;AMETHYSTS;SEASHELLS;9998;1
200;;;AMETHYSTS;SEASHELLS;9998;1
200;;;STARFRUIT;SEASHELLS;5053;1
300;;;STARFRUIT;SEASHELLS;5048;1
500;;;AMETHYSTS;SEASHELLS;10005;2
500;;;STARFRUIT;SEASHELLS;5055;2
900;;;STARFRUIT;SEASHELLS;5048;8
1000;;;AMETHYSTS;SEASHELLS;10002;1
1000;;;AMETHYSTS;SEASHELLS;10002;2
1200;;;STARFRUIT;SEASHELLS;5050;1
1300;;;AMETHYSTS;SEASHELLS;9998;1
1500;;;STARFRUIT;SEASHELLS;5049;1
1600;;;AMETHYSTS;SEASHELLS;9996;1
1900;;;AMETHYSTS;SEASHELLS;9998;8
1900;;;AMETHYSTS;SEASHELLS;9998;4
3200;;;AMETHYSTS;SEASHELLS;10004;1
3200;;;AMETHYSTS;SEASHELLS;10004;1
3200;;;STARFRUIT;SEASHELLS;5054;2
3400;;;AMETHYSTS;SEASHELLS;9998;1
3600;;;AMETHYSTS;SEASHELLS;10002;5
3600;;;AMETHYSTS;SEASHELLS;10002;3
3700;;;STARFRUIT;SEASHELLS;5052;5
3900;;;AMETHYSTS;SEASHELLS;10002;4
4600;;;STARFRUIT;SEASHELLS;5058;1
4700;;;STARFRUIT;SEASHELLS;5060;4
4900;;;AMETHYSTS;SEASHELLS;10004;2
4900;;;STARFRUIT;SEASHELLS;5060;2
5700;;;STARFRUIT;SEASHELLS;5060;1
5700;;;STARFRUIT;SEASHELLS;5060;13
5800;;;STARFRUIT;SEASHELLS;5061;14
5900;;;AMETHYSTS;SEASHELLS;9996;1
5900;;;STARFRUIT;SEASHELLS;5061;12
5900;;;STARFRUIT;SEASHELLS;5058;1
6100;;;STARFRUIT;SEASHELLS;5055;5
7400;;;STARFRUIT;SEASHELLS;5055;1
7800;;;AMETHYSTS;SEASHELLS;10002;2
7800;;;STARFRUIT;SEASHELLS;5060;1
7900;;;AMETHYSTS;SEASHELLS;10004;1
7900;;;AMETHYSTS;SEASHELLS;10004;8
8000;;;ORCHIDS;SEASHELLS;1099;2
8600;;;AMETHYSTS;SEASHELLS;10004;1
8600;;;AMETHYSTS;SEASHELLS;10004;6
9400;;;STARFRUIT;SEASHELLS;5056;1
9600;;;AMETHYSTS;SEASHELLS;9998;2
9600;;;STARFRUIT;SEASHELLS;5061;1
9700;;;AMETHYSTS;SEASHELLS;9996;1
9900;;;STARFRUIT;SEASHELLS;5061;1
9900;;;STARFRUIT;SEASHELLS;5058;5
10500;;;AMETHYSTS;SEASHELLS;10002;1
10500;;;AMETHYSTS;SEASHELLS;9995;2
10500;;;STARFRUIT;SEASHELLS;5056;2
10600;;;STARFRUIT;SEASHELLS;5060;1
